Produto_Cod_barras	idIngrediente
3175681140806	214
3175681140806	215
3175681140806	216
3178530408409	19
3178530408409	20
3178530408409	71
3178530408409	217
3178530408409	81
3178530408409	218
3178530408409	83
3178530408409	219
3178530408409	180
3178530408409	220
3178530408409	25
3178530408409	221
3178530408409	222
26035468	27
26035468	20
26035468	223
26035468	224
26035468	31
26035468	225
26035468	32
26035468	25
26035468	226
26035468	227
3222471834732	228
3222471834732	210
3222471834732	229
3222471834732	230
3222471834732	25
3222471834732	10
3222471834732	154
3222471834732	231
3560070907564	232
3560070907564	233
3560070907564	234
3564709001579	235
3564709001579	34
3564709001579	236
3760029247127	237
3760029247127	238
3760029247127	239
3760029247127	240
3760029247127	241
3561770000036	237
3561770000036	242
3561770000036	243
3561770000036	244
3336971202059	69
3336971202059	193
3336971202059	71
3336971202059	25
3336971202059	72
3336971202059	73
3245390021908	245
3245390021908	246
3245390021908	247
3245390021908	31
3245390021908	248
3245390021908	249
3245390021908	89
3245390021908	25
3245390021908	250
3245390021908	251
3175681120679	252
3175681120679	253
3175681120679	86
3175681120679	254
3175681120679	255
3175681120679	256
3175681120679	27
3175681120679	257
3175681120679	258
3175681120679	259
3175681120679	260
3175681120679	153
3175681120679	155
3175681120679	261
3175681120679	262
3175681120679	263
3178530407365	264
3178530407365	265
3178530407365	266
3178530407365	20
3178530407365	25
3268350120367	267
3268350120367	268
3268350120367	269
3268350120367	83
3268350120367	81
3268350120367	147
3268350120367	270
3268350120367	71
3268350120367	217
3268350120367	271
3268350120367	272
3268350120367	273
3268350120367	274
3268350120367	275
3268350120367	57
3268350120367	58
3268350120367	276
3222475123597	277
3222475123597	278
3222475123597	279
3222475123597	280
3222475123597	281
3222475123597	77
3222475123597	282
3222475123597	283
3222475123597	284
3222475123597	133
3222475123597	285
3222475123597	155
3222475123597	286
3222475123597	10
3222475123597	287
3222475123597	288
3368955782202	289
3368955782202	20
3368955782202	290
3368955782202	291
3368955782202	292
3368955782202	293
3368955782202	294
3368955782202	295
3368955782202	296
3368955782202	227
3368955782202	155
3368955782202	297
3368955782202	298
3368955782202	299
3270720080102	300
3270720080102	301
3270720080102	71
3270720080102	302
3270720080102	303
3270720080102	20
3270720080102	304
3270720080102	305
3256224371410	19
3256224371410	306
3256224371410	307
3256224371410	25
3256224371410	39
3256224371410	308
3256224371410	41
3760077531865	309
3760077531865	310
3760077531865	71
3760077531865	25
3760077531865	311
3760077531865	312
3512690000101	313
3512690000101	25
3512690000101	101
3512690000101	314
3512690000101	315
3512690000101	316
3512690000101	317
3512690000101	318
3512690000101	319
3512690000101	320
3770002558126	321
3770002558126	20
3770002558126	322
3770002558126	323
3770002558126	324
3770002558126	325
3770002558126	326
3770002558126	327
3770002558126	328
3266191085739	329
3266191085739	330
3266191085739	331
3266191085739	332
3266191085739	250
3266191085739	81
3266191085739	333
3266191085739	217
3266191085739	58
3266191085739	33
3266191085739	34
3266191085739	334
3266191085739	77
3266191085739	335
3270190155584	336
3270190155584	337
3270190155584	338
3270190155584	71
3270190155584	339
3270190155584	340
3270190155584	341
3270190155584	342
7622300737955	343
7622300737955	344
7622300737955	345
7622300737955	346
7622300737955	347
7622300737955	348
7622300737955	349
7622300737955	350
7622300737955	351
3268350120824	352
3268350120824	271
3268350120824	71
3268350120824	353
3268350120824	83
3268350120824	81
3268350120824	147
3268350120824	274
3268350120824	354
3268350120824	355
3268350120824	356
2000000000094	19
2000000000094	20
2000000000094	357
2000000000094	25
2000000000094	358
3396411227486	359
3396411227486	360
3396411227486	76
3396411227486	52
3396411227486	361
3396411227486	362
3396411227486	363
3396411227486	364
3396411227486	365
3396411227486	366
3396411227486	367
3396411227486	25
3396411227486	368
3396411227486	369
3256220363334	370
3256220363334	371
3256220363334	372
20384425	237
20384425	373
20384425	151
20384425	374
20384425	375
20384425	83
20384425	81
20384425	376
20384425	27
20384425	377
20384425	378
20384425	24
20384425	379
20384425	380
20384425	381
20384425	382
20384425	383
3263853107013	384
3368954400770	385
3368954400770	386
3368954400770	387
3368954400770	388
3368954400770	389
3368954400770	390
3368954400770	101
3368954400770	391
3368954400770	392
3368954400770	393
3368954400770	394
3368954400770	395
3368954400770	396
3368954400770	397
3368954400770	398
3368954400770	399
3368954400770	400
3368954400770	401
3368954400770	25
3368954400770	402
3368954400770	403
3368954400770	404
3256225054756	405
3256225054756	27
3256225054756	406
3256225054756	71
3256225054756	217
3256225054756	32
3256225054756	81
3256225054756	407
3256225054756	408
3256225054756	409
3256225054756	410
3256225054756	411
3256225054756	412
3256225054756	413
3256225054756	414
3256225054756	415
3256225054756	25
3256225054756	334
3256225054756	416
26039510	417
26039510	418
26039510	419
26039510	185
26039510	420
26039510	421
26039510	422
26039510	423
26039510	424
26039510	425
26039510	426
26039510	427
26039510	428
26039510	429
26039510	430
26039510	431
26039510	432
26039510	433
26039510	186
26039510	434
26039510	435
26039510	436
26039510	437
3178530409604	438
3178530409604	20
3178530409604	439
3178530409604	83
3178530409604	440
3178530409604	441
3178530409604	25
3178530409604	33
3178530409604	34
3178530409604	442
3178530409604	32
3178530409604	443
3178530409604	81
3178530409604	222
5412514933050	444
5412514933050	445
