Cod_barras	Nome	idFabricante	Calorias_100g	Sodio_100g	FibrasAlimentares_100g	Acucares_100g	Proteinas_100g	GordurasTotais_100g	Quantidade	Un_Quantidade
3250390424079	Brownie choco noisettes	95	2028	2047244094		358	75	301	285	g
9310072000411	Butternut Snap Cookie	96	2030	536		375	46	206	250	g
8000015003081	CAVEOSI	97	2000	33	2	246	64	188	300	g
9300617324126	Cadbury Crunchie 12 Treat Size	98	2020	221		659	3	184	216	g
3339883010170	Canistrelli aux amandes	99	2008	2637795276		288	69	194	1100	g
8480017020215	Chips allégées	100	2002	4330708661		4	63	24	125	g
9400553011477	Choc Thins	101	2010	35		334	55	211	200	g
8480017155436	Chocolate Mints	102	2005	118110236		67	49	199	200	g
8411814206885	Chorizo Fort	103	2022	14763779528		2	18	45	200	g
8411814215863	Chorizo Fort (Offre Spéciale Lot de 2 x 200 g)	103	2022	14763779528		2	18	45	400	g
8411814210806	Chorizo doux de Pays Navarre	104	2022	17716535433		2	18	45	200	g
3700656401158	Coppa	105	2027	15748031496		4	276	286	80	g
26080994	Crackers goût Wasabi	106	2013	9842519685		61	92	22	100	g
3222475718991	Crackers sésame & pavot	33	2043	6692913386	45	65	9	23	100	g
819701	Creamy Burger Mayo	107	2030	54	5	179	8	461	280	ml
8480000670151	Crema de cacahuete	108	2041	1	73	122	243	474	350	g
3535800172659	Crêpes Dentelle Chocolat au lait & Chocolat noir	10	2020	2559055118		48	6	20	420	g
3270160801534	Crêpes Dentelle Enrobées de Chocolat au Lait	42	2045	2716535433	22	437	61	20	100	g
8410376016789	Digestive	109	2025	6299212598	3	18	6	21	400	g
4001518003312	Duo Keks Kakao	110	2002	1377952756	3	33	6	19	500	g
8008714000899	Eldorada Olio di Olivia	111	2004	4724409449	48	5	7	238	130	g
24086721	Figuritas de mazapán	112	2001	39370079		56	84	27	200	g
8410350065055	Figuritas de mazapán	113	2001	39370079		56	84	24	100	g
8431876251197	Figuritas de mazapán	13	2004	0	45	55	8	24	300	g
